Feature,Coefficient,Abs_Coefficient
num__stress_level_0_10,-7.708023065505714,7.708023065505714
num__productivity_0_100,6.1115292702364235,6.1115292702364235
num__sleep_quality_1_5^2,4.732859313748834,4.732859313748834
num__stress_level_0_10 productivity_0_100,-3.662036578643339,3.662036578643339
num__exercise_minutes_per_week,1.3923502254474402,1.3923502254474402
num__age sleep_hours,-0.6968952586565617,0.6968952586565617
num__work_screen_hours leisure_screen_hours,0.6065220759684493,0.6065220759684493
num__productivity_0_100 social_hours_per_week,0.5727046943998846,0.5727046943998846
num__sleep_hours productivity_0_100,0.5285253269783962,0.5285253269783962
num__stress_level_0_10^2,0.5088582181742006,0.5088582181742006
num__sleep_hours,0.4082329933656347,0.4082329933656347
